GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0600000US4200100116,4200100116,"Abbottstown borough, Adams County, Pennsylvania",332,50,246,45,183,36,86,28,1.5,1.7,0.0,9.7,0.0,12.7,5.8,6.7,3.6,2.4,0.8,1.2,0.0,12.7,11.6,8.5,8.1,3.6,7.7,5.4,6.6,5.2,16.3,10.1,11.7,5.4,9.3,5.9,6.6,5.6,12.8,10.4,15.1,5.3,19.5,7.8,11.5,7.1,10.5,8.6,38.0,8.2,37.8,7.6,43.2,8.7,33.7,17.8,12.7,4.3,13.4,5.0,16.9,6.3,5.8,6.8,7.2,3.4,8.5,4.5,11.5,6.2,3.5,4.7,1.5,1.5,2.0,2.0,2.7,2.7,0.0,24.8,0.6,1.0,0.8,1.3,1.1,1.7,0.0,24.8,57115,6402,60500,8149,66250,2930,45000,26857,59240,4156,63406,4877,N,N,42641,8376,22.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),9.3,(X)
0600000US4200102928,4200102928,"Arendtsville borough, Adams County, Pennsylvania",346,77,252,64,160,46,94,39,2.0,3.3,1.2,1.7,0.0,14.4,7.4,12.1,4.6,4.3,2.0,3.5,0.0,14.4,11.7,13.8,13.3,7.7,16.3,9.4,11.3,9.6,14.9,16.0,17.1,9.0,13.1,10.6,7.5,9.8,14.9,15.5,14.5,8.8,13.5,10.4,16.3,14.3,17.0,17.5,21.1,9.5,24.2,11.3,23.1,10.8,22.3,19.6,10.1,7.2,10.3,8.3,11.3,10.2,9.6,15.1,13.3,7.4,13.9,8.0,21.9,12.0,2.1,4.1,1.7,2.0,2.4,2.7,3.8,4.2,0.0,23.1,2.3,2.9,3.2,4.0,5.0,5.9,0.0,23.1,46364,16244,53750,15184,69318,10197,36250,21688,69695,21096,77266,27429,N,N,42034,11595,25.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),12.8,(X)
0600000US4200105536,4200105536,"Bendersville borough, Adams County, Pennsylvania",255,60,197,55,146,46,58,25,0.0,9.3,3.6,4.4,0.0,15.7,0.0,33.4,3.1,4.0,0.0,11.9,0.0,15.7,8.6,15.4,6.7,6.1,3.0,4.9,4.1,6.4,19.0,19.7,24.3,11.8,17.3,12.1,10.3,10.0,48.3,23.6,16.1,11.1,14.2,13.7,17.1,17.8,15.5,13.6,16.1,9.6,18.8,12.2,10.3,8.5,8.6,11.7,24.3,10.8,31.5,14.1,42.5,18.0,0.0,33.4,8.6,7.9,10.7,10.3,14.4,13.9,0.0,33.4,0.8,1.3,1.0,1.6,1.4,2.2,0.0,33.4,0.0,9.3,0.0,11.9,0.0,15.7,0.0,33.4,49948,18219,60156,17147,79750,17573,26711,2281,60020,8548,67834,10698,N,N,29928,7135,27.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),17.2,(X)
0600000US4200105880,4200105880,"Berwick township, Adams County, Pennsylvania",864,62,660,69,556,70,204,44,5.0,3.3,3.9,3.9,1.6,1.8,8.3,5.7,2.8,1.6,2.6,1.8,0.9,1.2,5.9,4.9,8.7,3.9,3.8,3.3,1.3,1.3,22.1,10.1,11.9,3.2,8.8,3.7,10.4,4.4,22.1,8.8,12.3,4.2,11.7,4.9,10.8,5.0,17.2,11.5,20.7,5.5,23.3,6.9,24.6,7.9,9.3,7.0,15.4,5.1,17.9,6.3,18.0,6.5,7.4,6.0,13.1,4.7,15.9,6.1,18.0,7.2,3.9,2.9,6.1,2.6,6.8,3.1,8.1,3.7,3.9,4.9,4.1,3.1,5.3,4.1,6.3,4.8,0.0,11.5,63229,4091,70921,7799,78056,12186,28958,6845,75508,8397,85126,9984,N,N,43616,8198,22.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),21.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.0,(X)
0600000US4200106296,4200106296,"Biglerville borough, Adams County, Pennsylvania",444,51,265,44,192,39,179,48,2.9,2.2,1.1,1.7,1.6,2.3,5.6,5.0,8.8,5.6,6.8,7.3,0.0,12.2,13.4,9.7,5.0,3.2,8.7,6.5,8.3,8.4,6.1,5.5,16.4,7.8,15.8,8.8,6.8,5.3,20.7,13.1,23.6,8.3,12.5,5.7,13.0,7.0,33.5,15.1,18.7,6.9,18.5,7.4,22.9,9.2,15.1,10.2,10.1,4.5,15.8,6.9,20.3,8.6,2.2,3.2,9.0,3.4,12.8,5.3,16.1,6.9,1.7,2.7,3.4,3.3,5.7,5.3,7.8,7.4,0.0,13.0,2.0,1.9,2.3,2.6,3.1,3.5,1.7,2.8,42100,8668,56250,16652,73611,8946,36042,3658,65238,14111,77171,21234,N,N,43492,12904,23.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),11.7,(X)
0600000US4200107560,4200107560,"Bonneauville borough, Adams County, Pennsylvania",687,72,550,71,334,56,137,43,10.9,7.0,12.2,8.6,3.9,4.1,5.8,6.3,1.9,1.9,0.9,1.8,0.0,7.2,5.8,5.9,7.7,3.5,6.2,4.4,1.2,1.9,21.9,13.7,15.0,6.0,15.1,7.0,4.5,3.4,19.7,10.8,13.7,4.8,12.2,5.3,11.4,6.2,29.2,13.9,22.4,6.0,19.1,5.8,26.3,8.0,17.5,12.2,9.5,3.3,12.4,4.1,16.5,6.0,0.0,16.6,15.6,5.2,17.8,6.7,29.3,9.7,0.0,16.6,1.3,1.2,1.6,1.5,2.7,2.4,0.0,16.6,2.0,2.6,2.5,3.2,4.2,5.1,0.0,16.6,51058,7060,54000,13400,77500,15848,33393,6605,63873,9424,68378,12081,N,N,34542,5312,17.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),14.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.9,(X)
0600000US4200110456,4200110456,"Butler township, Adams County, Pennsylvania",1024,70,786,47,664,56,238,74,2.9,1.7,3.2,2.0,2.4,2.0,3.8,4.3,5.8,2.2,1.3,1.4,0.9,1.3,20.6,8.8,4.9,2.4,4.1,2.2,3.3,2.3,10.1,7.0,11.4,4.4,10.8,4.5,7.7,4.7,13.0,11.9,18.2,5.5,15.6,5.6,14.3,5.3,26.5,13.1,20.5,4.3,21.2,5.6,22.9,6.0,16.0,8.8,15.5,4.5,16.7,5.4,18.2,6.1,10.1,9.1,16.1,4.8,21.0,6.1,23.0,6.8,0.0,10.0,1.4,1.1,1.8,1.5,2.1,1.7,0.0,10.0,3.3,2.0,4.3,2.6,5.1,3.0,0.0,10.0,57115,7796,66905,8780,72917,12878,36500,8621,71043,7066,80441,8725,N,N,37987,5250,26.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),11.3,(X)
0600000US4200111472,4200111472,"Carroll Valley borough, Adams County, Pennsylvania",1342,82,1041,66,961,74,301,80,0.0,1.8,0.0,2.4,0.0,2.6,0.0,8.0,2.7,2.8,0.0,2.4,0.0,2.6,12.0,12.3,0.0,1.8,0.0,2.4,0.0,2.6,0.0,8.0,2.2,2.2,1.2,1.6,1.2,1.7,5.6,8.2,13.9,6.4,11.5,6.5,11.2,6.7,22.3,14.7,26.9,7.7,29.9,8.2,27.9,8.0,21.6,14.2,14.8,5.8,14.4,6.2,13.0,6.3,16.3,13.8,26.8,7.5,29.6,8.6,32.0,9.4,15.9,11.2,9.4,3.6,9.1,4.4,9.9,4.7,6.3,8.8,3.4,2.9,4.3,3.8,4.7,4.1,0.0,8.0,78936,7810,82431,22215,95398,28223,54779,9977,95961,7964,102486,9070,N,N,68204,15253,24.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),12.0,(X)
0600000US4200115632,4200115632,"Conewago township, Adams County, Pennsylvania",2796,134,2111,123,1813,140,685,128,2.3,1.8,0.3,0.4,0.0,1.4,9.2,7.2,1.8,1.3,0.9,0.8,0.3,0.5,5.3,5.0,11.6,4.0,9.4,4.7,8.0,5.0,21.9,9.1,8.3,2.7,6.6,3.0,4.4,2.3,14.2,7.2,17.6,4.1,13.4,4.1,12.5,4.3,26.1,10.1,20.4,4.0,22.7,4.7,22.6,5.1,12.6,6.3,16.2,3.8,19.9,4.9,21.5,5.7,4.5,5.0,14.3,2.9,17.3,4.1,19.9,4.6,4.7,3.0,5.2,2.7,6.2,3.6,7.2,4.1,1.6,2.2,2.4,1.8,3.2,2.3,3.8,2.7,0.0,3.6,62206,3506,72483,4039,76841,4998,34735,4861,71034,4164,80307,5611,N,N,39733,5057,18.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),21.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),7.3,(X)
